text,sentiment
"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",neutral
Saunalahti is a part of the Elisa group .,neutral
"says Brian Burton , Head of IT Security , Vodafone UK .",neutral
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral
Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration .,neutral
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral
SSH Establishes New Global Sales and Marketing Group to be led by George Adams ; Adams Establishes Global Sales and Marketing Group to Drive Worldwide Programs Supporting SSH Tectia Enterprise Security Solutions,neutral
Status : Agreed,neutral
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",neutral
STUK today is a full service house expert in radiation and nuclear safety issues .,neutral
"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,neutral
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral
"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % .",neutral
Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality .,neutral
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki .,neutral
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses .",neutral
The acquisition price was not disclosed .,neutral
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral
"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",neutral
The Board of Directors was authorized to decide on other terms of the share issue .,neutral
The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,neutral
"The buildings , with about 40 condominiums each , will be built in 4 or 5 stages .",neutral
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",neutral
"The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .",neutral
The capital structure of Solidium may be complemented by other financial instruments in the future .,neutral
The category was marked by maturity and the recession .,neutral
The chain is to unite 45-50 centres by the end of 2008 .,neutral
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,neutral
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",neutral
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral
"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",neutral
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",neutral
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral
The company then said it will focus its resources on clinical research .,neutral
The Company turnover amounted to MEUR 27.9 in 2007 .,neutral
The company website is www.ahlstrom.com .,neutral
The company will be part of Teleste 's Video and Broadband Solutions business area .,neutral
"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral
The company will release its 2010 results on 11 February 2011 .,neutral
"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",neutral
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",neutral
The contract includes heating plant equipment and associated installation work .,neutral
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,neutral
The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,neutral
"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,neutral
The customers will have an access to integrated propeller and gear packages from one source .,neutral
The deal is subject to approval by the Norwegian competition authorities .,neutral
The deal means that ten persons in three countries will transfer to Tieto .,neutral
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral
The deliveries are scheduled for the summer and autumn of 2008 .,neutral
"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",neutral
"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year .",neutral
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral
"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .",neutral
"The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. .",neutral
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",neutral
"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral
The first group of customers to be trained will be paint-shop owners and their assistants .,neutral
The first stage of the contract covers 133 stores and 600 cash registers .,neutral
"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland .",neutral
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .,neutral
The front surfaces of these valve plates are directed towards each other .,neutral
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,neutral
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",neutral
The increase range will vary up to 10 % .,neutral
The initial estimated total value was 1744900 EUR and the final award value was 1744900 EUR .,neutral
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral
"The latest date for registration is on 4 April , 2006 .",neutral
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,negative
The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral
The maximum number of new shares to be offered is 22 million .,neutral
The measures taken will cause one-time costs during the final part of 2006 .,neutral
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral
"The money will be spread mainly over 2011 and 2012 , the company said .",neutral
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",neutral
The new activity will incur an investment of about 5 MEUR .,neutral
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,neutral
The new SEPA cads will replace Finnish bank cards .,neutral
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",neutral
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral
"The order includes a new Crecent former , headbox , and reel .",neutral
The output of the contracts totals 72 MWe .,neutral
"The parties have agreed not to disclose the price of the deal , the group said in a press release .",neutral
The parties have agreed not to disclose the transaction value .,neutral
"The payment date is March 25 , 2010 .",neutral
"The platform is based built on Intel s second-generation MID platform , called Moorestown .",neutral
"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",neutral
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,neutral
The purchase sum is about EUR 10mn US$ 12.97 mn .,neutral
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral
The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,neutral
"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",neutral
The restructuring measures will not affect the production of packaging printing material .,neutral
"The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October .",neutral
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",neutral
"The sale will be finalized in September or October , the company said .",neutral
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",neutral
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",neutral
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",neutral
The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral
The site will cover over six hectares .,neutral
The transaction will take place without payment of merger consideration .,neutral
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral
"The wireless industry is bracing itself for the iPhone , which will launch on June 29 .",neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,neutral
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral
This is the company 's first contract abroad .,neutral
This release is not an offer of securities for sale into the United States or elsewhere .,neutral
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral
